信件标题,信件编号,办理单位,状态,类型,链接
12类优抚对象第四人员的含义,G20181201-0002,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e281016767c5e3500747
诈骗公司,G20181130-0041,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101676447af1a05eb
关于泡崖八区，康顺园供暖情况,G20181130-0030,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e2810167635717fd0571
大连亿丰汽车城,G20181130-0031,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101676356d6260570
关于增加健身设施的建议,G20181129-0050,园林处,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675e605fd002d3
大学生购房补贴何时能下发？,G20181129-0047,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675e52932702c9
小区楼长的合法性确定,G20181129-0046,沙河口区黑石礁街道办事处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675e4f971a02c7
农村土地流转问题,G20181129-0029,农村经济委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675d692ac90220
沙河口区供暖办违规发放供热经营许可证，充当违法企业的保护伞,G20181129-0027,供热办,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675d5312ad020c
网约车驾驶证怎么办理,G20181129-0026,大连市出租汽车管理处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675d52d9c2020b
举报国资委不作为,G20181129-0015,政府国有资产监督管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675d1d790801c6
保住我们的房屋维修基金,G20181129-0002,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675c694f540133
大连海森棵供暖技术服务有限公司违反大连市供热用热条例,G20181128-0047,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080816759e28101675a74987d005c
请国土资源局物业安全处按照政府权责清单明确处置责任！,G20181128-0041,物业安全处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a0016759bd932a052f
陪产假,G20181128-0039,家庭发展处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001675995528b051f
2018年是否采集病故转业军人信息。,G20181128-0040,民政局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a00167598d84e8051d
小区物业资料在哪里？,G20181128-0038,甘井子区机场街道,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001675979b24c0512
如何办理流动人口符合当地计划生育的认定证明,G20181128-0037,沙河口区卫生和计划生育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001675973440b050e
泡崖执法大队是否可以对大连亿丰汽车城业主公示招投标资料,G20181128-0034,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a0016759500cb804f5
金地保利墅苑风华未竣工验收，设施不完备交房,G20181128-0025,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a0016758c49bd50492
业主身份认定,G20181128-0023,物业安全处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a00167588e18280471
咨询下大连市沙河口区连华街61号楼的产权单位,G20181128-0013,国有房产管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001675812e01e041b
复洲湾裴屯村蔡屯185号居民及周边居民停水长达一个月！,G20181128-0008,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a0016757d4094203f1
乱用职权,G20181128-0005,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a0016757bacd2a03de
举报大连市金州区杏树屯镇李堡村委无作为，恶民猖狂欺人。,G20181127-0030,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001675391734601da
大连中政供暖物业管理有限公司服务不达标！,G20181127-0004,中山区供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a00167528933ea0135
关于大连林家铺子食品股份有限公司罐头食品的投诉建议,G20181126-0024,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a00167504974b600a4
受理单位甘井子区政府,G20181126-0019,甘井子区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001674fb2357f0066
大连亿丰汽车城,G20181126-0015,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001674f8209ce0048
咨询规划车位数量,G20181126-0003,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081674ef2a001674ef958d10008
干细胞治疗投资,G20181106-0026,卫生和计划生育委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166bd82bc0166e7470ebb000e
瓦房店瓦窝镇曲店回民村清真牛羊屠宰场非法经营,G20181121-0021,民族事务委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016734c90c862ea8
远洋荣域A4区车位问题,G20181121-0014,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167346eb0912e65
与军方协调军用光缆的结果如何,G20181121-0013,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167346c65d02e64
远洋荣域附近规划问题,G20181121-0012,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016734654fde2e5e
举报中海英伦官邸小区未按法规进行前期物业的选聘程序,G20181121-0009,沙河口区城建局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167343394322e39
据说买房有补贴？？？？,G20181121-0003,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016733abeb2f2dd3
2018大连教育局中小学教师职称评审工作,G20181120-0016,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201672f8f146f2c1a
远洋荣域小花园的维护问题,G20181120-0006,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201672e79e38e2b78
网约车资格证，哪里办理,G20181119-0028,车管处业务科,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201672c0d59ff2af0
中医诊所备案与产权关系,G20181119-0017,高新区文教卫生局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201672aa20c7f2a28
首次办理房证需要准备什么材料,G20181119-0012,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201672a7306122a05
西上天街万科售楼处装修排渣不及时,G20181119-0007,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016729ff81b129cb
关于采暖费,G20181119-0003,大连集中供暖办公室,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201672994b4f62993
未取得供热行政许可证的供暖企业如何能按质按量供暖,G20181118-0006,甘井子区人民政府,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016725434505286e
居民小区环境治理,G20181118-0005,沙河口区李家街道办事处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016724b107bd284a
受理编号620181109－0049处理状态办结申请解释或处理意见,G20181118-0004,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016724a99c0a2847
家里暖气不热,G20181118-0002,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016724511344282a
了解周水子社区姜炳荣拆迁补偿款是否发放到位,G20181118-0001,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167243a392f2821
大连新星绿城小区供暖很差！！！！！！,G20181117-0017,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167224a6c4f27c2
华业玫瑰东方二期物业强行将物业费和停车费捆绑收费,G20181117-0007,沙河口区兴工街道办事处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167204c7ae32708
关于2816年入伍士兵安家费的问题,G20181117-0004,旅顺口区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167202f849126ec
大连图书馆管理藏书不善，疑似丢失，无法借阅，无人负责,G20181116-0039,文化广播影视局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201671d0f2af825a7
水费物业费捆绑缴费,G20181116-0026,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201671b1db9e024b5
大连开发区地上与地下停车位出租与出售条件有哪些？,G20181116-0015,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201671aab67e52468
亿达地产违法施工,G20181116-0016,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201671aaa4d462466
关于外来人员户籍办理方法,G20181115-0046,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201671779ae8a2312
医大二院为何迟迟不退给我住院押金,G20181115-0041,大医附二,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167175de8392301
供暖很差一直未解决,G20181115-0039,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201671736c97622ec
暖气不热,G20181115-0036,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016716eeaad922cd
为什么我查不到已经备案的商品房的价格，我怎么知道开发商有没有卖的比备案价高，大连难道没有监督管理房价并向老百姓公示的网站么，这么不透明，暗箱操作么,G20181115-0028,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201671675c66e228a
大连市金诚供暖有限公司非直供室内测温标准流程 内容 大连市金诚供暖有限公司是否有对于非直供供暖室内的供热测温标准，要求书面答复并且盖供暖公司章,G20181115-0024,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167165e3e242277
甘井子区博雅中学违建何时拆除,G20181115-0011,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016715580be521fe
规划局要强拆我公司07年自建（学校让建的）还有公司纠纷的房子。,G20181114-0033,中山区行政执法局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201671215260f2064
经济适用房办理完全产权证,G20181114-0019,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167105df0aa1f79
大连经济适用房,G20181114-0012,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167100684fc1f3c
投诉不良出租车,G20181114-0004,大连市出租汽车管理处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670fcdb3541f16
甘井子区红旗镇柳树南街柳岸人家二期小区货车乱停车噪音扰民,G20181113-0038,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670d6055461e37
举报两家医院违规造假 酿成冤假错案,G20181113-0037,卫生和计划生育委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670d3902b11e29
人才认定政策相关问题,G20181113-0034,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670d126e061e15
大连全民游泳健身俱乐部游泳池水质浑浊,G20181113-0033,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670cf0a3df1e06
无土地证明是否可以开具？,G20181113-0028,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670c532e211d6f
公租房补助降低了吗,G20181113-0020,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670c313d041d55
大连市友谊医院一线人员工资问题,G20181113-0019,友谊医院,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670c2343841d4d
大连本地 没有住房 孩子上学怎么办,G20181113-0009,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670b52f3081ce3
大连市中山区青云云集小区改变规划设计施工,G20181113-0004,规划局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670a6580e01c61
甘井子区红旗镇柳树南街柳岸人家二期小区货车乱停车噪音扰民,G20181113-0003,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016709bbce9b1c3b
甘井子区红旗镇柳树南街柳岸人家二期小区货车乱停车噪音扰民,G20181113-0002,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016709b9e3801c3a
柳树南街柳岸人家小区乱停车噪音扰民严重,G20181113-0001,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016709b1fca51c37
投诉星海融汇物业管理有限公司违法行为,G20181112-0032,沙河口区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670843ba6e1bf8
举报大连华夏文化艺术品交易所,G20181112-0028,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016707d5ccc71bd6
父母投靠落户之后的医保问题,G20181112-0023,高新技术产业园区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670746363d1bb0
被吊销的单位还在正常经营,G20181112-0022,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016706e1a82c1b80
中山公园宠物花卉市场售出烈性传染病猫,G20181112-0019,解放广场管理所,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016706959c341b56
关于河口湾片区、黑石礁片区和理工大学片区详细控规,G20181112-0009,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e2016705df7c7d1b01
沙河口区广平街万仁巷，供热问题,G20181112-0003,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20167055e34f71ab9
督促亿达物业公开收支并以书面形式回复此投诉,G20181111-0011,旅顺口区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e201670279fb451a1f
投诉旅顺口区综合执法局,G20181110-0023,旅顺口区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166fd3f223418ee
举报大连高新园区小平岛美育时光教育非法办学,G20181110-0020,高新区文教卫生局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166fcdff71118d3
当前，辽宁省物业管理条例第四十一条规定了前期物业相关规定，但是大连市具体招标办法没有出台，无细则可执行，现我小区面临终止前期物业服务问题，现咨询我小区前期物业服务企业更换、重新选聘物业合法流程，请根据相关法律法规详细说明，我小区将根据回答进行流程遵循。该流程未来可能会作为法庭证辩材料提交。,G20181110-0006,物业安全处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166fb187bda1844
大连金诚供暖有限公司未取得供热行政许可证,G20181110-0005,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166fb0f88971842
关于咨询我小区前期物业服务企业更换、重新选聘物业合法流程，请根据相关法律法规详细说明，我小区将根据回答进行流程遵循。,G20181110-0004,物业安全处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166fb0898ec183e
关于加强新建住宅装修材料搬运管理的通知的问题咨询,G20181109-0052,物业安全处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166f908652417e0
大连金诚供暖有限公司未取得供热许可证非法经营请查实予以查处,G20181109-0049,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166f87c1f1117b8
大连市是否开展退伍老兵信息采集工作,G20181109-0048,甘井子区民政局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166f86654f917af
小区规划图哪去了？,G20181109-0043,规划局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166b2d9e20166f7cd23741780
